"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"REVISTA DA ESCOLA DE ENFERMAGEM DA USP","0080-6234","1980-220X","UNIV SAO PAOLO","AV  DR ENEAS DE CARVALHO AGUIAR, 419, CERQUERA CESAR, BRAZIL, SP, 05403-000","Portuguese, English, Spanish","Nursing"
"REVISTA DE CIENCIA POLITICA","0718-090X","0718-090X","PONTIFICIA UNIV CATOLICA CHILE, INST CIENCIA POLITICA","AV VICUNA MACKENNA 4860, SANTIAGO, CHILE, 00000","Spanish","Political Science"
"REVISTA DE CONTABILIDAD-SPANISH ACCOUNTING REVIEW","1138-4891","1988-4672","UNIV MURCIA","Edificio Pleiades Campus de Espinardo, Murcia, Spain, 30071","English, Spanish","Business, Finance"
"REVISTA DE ECONOMIA MUNDIAL","1576-0162","2340-4264","UNIV HUELVA, SERV PUBLICACIONES","CAMPUS EL CARMEN, EDIFICIO MARIE CURIE, AVENIDA FUERZAS ARMADAS S-N, HUELVA, SPAIN, 21071","Spanish, English","Economics"
"REVISTA DE EDUCACION","0034-8082","1988-592X","MINISTRY EDUCATION & SCIENCE","SAN FERNANDO DEL JARAMA, 14, MADRID, SPAIN, 28002","Spanish","Education & Educational Research"
"REVISTA DE ESTUDIOS POLITICOS","0048-7694","1989-0613","CENTRO ESTUDIOS POLITICOS CONSTITUCIONALES","PLAZA DE LA MARINA ESPANOLA 9, MADRID, SPAIN, 28071","Spanish","Political Science"
"REVISTA DE ESTUDIOS SOCIALES","0123-885X","1900-5180","UNIV ANDES","Cra. 1 #18a-12, Bogota, Colombia, 111711","Spanish, English, Portuguese","Social Sciences, Interdisciplinary | Social Issues"
"REVISTA DE GEOGRAFIA NORTE GRANDE","0379-8682","0718-3402","PONTIFICA UNIV CATOLICA CHILE, INST GEOGRAFIA","AV VICUNA MACKENNA 4860, SANTIAGO, CHILE, 00000","Spanish","Geography"
"REVISTA DE HISTORIA ECONOMICA","0212-6109","2041-3335","CAMBRIDGE UNIV PRESS","32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473","Spanish","History | History Of Social Sciences | Economics"
"REVISTA DE HISTORIA INDUSTRIAL","1132-7200","2385-3247","UNIV BARCELONA, DEPT HISTORIA, INST ECONOMIQUES","AVDA DIAGONAL 690, BARCELONA, SPAIN, 08034","Multi-Language","History | Economics | History Of Social Sciences | Business"
"REVISTA DEL CLAD REFORMA Y DEMOCRACIA","1315-2378","1315-2378","CLAD-LATINOAMERICANO ADMINISTRACION DESARROLLO","AV PRINCIPAL LOS CHORROS, CRUCE CON AV 6, CASA CLAD, URB LOS CHORROS, PO 4181, CARACAS 1071, CARACAS, VENEZUELA, 1010-A","Spanish","Political Science | Public Administration"
"REVISTA DE PSICODIDACTICA","1136-1034","2254-4372","ELSEVIER ESPANA","CALLE DE ZURBANO, 76-4TH FLR LEFT, MADRID, SPAIN, 28010","Spanish","Education & Educational Research | Psychology, Educational"
"REVISTA DE PSICOLOGIA DEL DEPORTE","1132-239X","1988-5636","UNIV ILLES BALEARS","SERVEI PUBLICACIONS INTERCANVI CIENTIFIC CAS JAI, CAMPUS UNIV, CARRETERA VALLDEMOSSA, K M 7 5, PALMA, SPAIN, ILLES BALEARS, 07122","Spanish, English","Psychology, Applied"
"REVISTA DE PSIQUIATRIA Y SALUD MENTAL","1888-9891","1989-4600","ELSEVIER ESPANA SLU","AV JOSEP TARRADELLAS, 20-30, 1ERA PLANTA, BARCELONA, SPAIN, CP-08029","Spanish","Psychiatry"
